"HolderAddress","Balance","PendingBalanceUpdate"
"0x0c1a3e4e1c3da4c89582dfa1afa87a1853d7f78f","6,179,784.873721591548410677","No"
"0xda92dd6f7b0c66e2c63182a3e1701b1f1f1716e9","6,098,969.999999999991611392","No"
"0xa68d091ed63189d7792f549c91d02e770794b91b","5,832,561.569436989790749251","No"
"0xc5d77feba3c8daa6e438fff558e9396520cb14f3","5,642,961.056899352546282509","No"
"0x04bf59b19bc6c9f3ac3e37612869009937805e89","5,512,710.175653555476785233","No"
"0x8888892c503f24822ed71eb2de512b9742ddcee8","5,043,316.177245099217097893","No"
"0xae6d1062610a102e04fdbc1837a0036eb69167e0","5,000,355.969790393322528989","No"
"0x6d87cc8a4a4159f8ad702b4996e6c37a8f2bb717","4,700,999.999999999939182592","No"
"0x6b7ada3fe5ccf3ab10a8e7ae7f4593b88b3bf385","4,692,392.864189299769794057","No"
"0xad4618702998e39697e8ea5b6dc0103463cec212","4,484,101.705165409300752304","No"
"0xdec83df040027bb5d3b28adff13b32a9918cf1e4","4,421,775.112724148197099451","No"
"0x2e319d36e246d36c1fda338e677137045be14b34","4,331,754.374841177155929206","No"
"0xb403f791e418e3b7d93c4609c1c4b711061182cd","4,278,239.839416778394801583","No"
"0xf5b5266f4e273c2418f3776964e95bd96ae3c4f7","4,212,138.008739380583541581","No"
"0x0d7661a7b7a89b40b6db128900557e4f1d1b3789","4,205,598.306489901377288887","No"
"0x340533f20d598cd8d264d79bb750d89267484b2b","4,073,712.4230546477962799","No"
"0x46efdf4314d042269665f062560f62ed8e56fc96","4,000,999.997","No"
"0xb8aa5551c8102025fcba49409d6e69e1ea22a878","4,000,000.9977","No"
"0x34536515a0ed4ab658d32ddcdbbcc06653ba95ce","3,840,864.005655027135237879","No"
"0x3520c10e51adca335f6e9b7c0f94968961c1505f","3,695,829.491716042866353566","No"
"0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd","3,612,711.48015188649802517","No"
"0xada4a589e58fe1a2153909be81f9b27c55413958","3,316,613.129918667143865414","No"
"0x4f48b2c59475bbdd85f9da25888cf8a8221cc1bc","3,137,404.575504443195851785","No"
"0x98e24cd4820702e07a195de1fbb34a0ab6656b53","3,094,794.256994990143834736","No"
"0xc4dd8e820ff8794301c67a74f4cd024676356532","3,017,186.613789449900684802","No"
"0x0a574cf555ac69b5a957aa876e2e0c898f6951e6","3,000,000","No"
"0x59fb98625a8332a2aa8d3174c8b11f25f97b4c47","3,000,000.000000000001048576","No"
"0xcf0afa96743819d52515bff99635a7978f2a856f","2,951,159.030211525979699532","No"
"0x282a6cc6f002654bee5ef9e55ac8416f7f7a2a03","2,875,129.473282406286206972","No"
"0xb06114b9997a4a16a078c4107d8eba74a869be4e","2,829,021.855676003527480782","No"
"0xba786e44f75c3d19b1cd959936f1954dc1e24ec3","2,808,453.58038012868383263","No"
"0x21f40c577731a0b664529a18514234784c6f7f02","2,805,782.999","No"
"0xd0e202a7a0f024d937f3f0c7195ea1aa04dc0c6e","2,761,674.107188027677172784","No"
"0x4db7784f828162cf432749568e36053d50efb7bd","2,718,462.35992975026863138","No"
"0x448c40c91644f45dae180a61f085b3d9555fe7d4","2,689,563.32466864034065901","No"
"0xd1d27de962e747dba7f3c160ecc8f1c56e3c4536","2,627,111.095738419695470849","No"
"0x12f12ab17830ed0f4b786eb1e47e90501e0c8703","2,530,513.872450311043798751","No"
"0x79cc76364b5fb263a25bd52930e3d9788fcfeea8","2,503,553.85327511062538968","No"
"0xc7099763f3368351c1a09381556bdb3657514a06","2,502,147.43282121724815663","No"
"0x3f3e305c4ad49271ebda489dd43d2c8f027d2d41","2,500,000.001420380893814495","No"
"0x48fa154eeff442f68f49d1bc24db3382e114771e","2,500,000","No"
"0x41f7056184dd811c8109ed3aac8e77ab78f89420","2,500,000","No"
"0x661db6b98d9dfeef20ebaf2c10b6701016bdb173","2,460,320.376813106328985637","No"
"0xfba3487042eb52ddd9f759bf08ff2619502ca25a","2,452,188.182645142418726775","No"
"0x31af59403e8074faacfac98fbf8354341b03e776","2,413,803.327527983572571764","No"
"0x83449c07c419944abc63d890b11c6095b9a260c7","2,393,038.563340703182118367","No"
"0x9bfd70eb587a5d2017bdeddb05ce6e29c0706901","2,340,200","No"
"0x9ba43286348ad6c0f70db9da1d2c6360c3b559ce","2,275,160.864820225349975455","No"
"0xdf139b4f463205c4ab8ce7f72c82db8b16474d2b","2,220,766.249999999940165632","No"
"0x917045599657c4ad8a742fa42a6e5481a2facb28","2,215,246.50701675639234513","No"
"0x96f4c79b32133df39314fe3f0cac691c6b4c0216","2,206,450.879746603692135194","No"
"0x602f2cff76a60efb311c63787cbf82a83dbca38f","2,204,108.724262006389839759","No"
"0xa2694d43b2fb2bfd89cb737b2019caef2dfbf72e","2,200,000","No"
"0x5bdef67b5c51f46faee39df33614d0b3b61432fd","2,144,108.129882981004852265","No"
"0xc1959246d12070ef672aa7dc09a4cb8f8e826a80","2,142,752.800086811568089983","No"
"0x1f5bbef0722b6188b87b29dff530d6cfb5a46967","2,109,009.062756541426411262","No"
"0x61714365af4e01473179b0f1229b0e22fca6616e","2,070,033.77","No"
"0xded7d569e0a9c346f0bdde02ad332b4cc5fa3be5","2,067,226.969900000007798784","No"
